Time (ms);Speed (mm/s)
0;0
5;52
10;104
15;209
20;366
25;523
30;680
35;837
40;942
45;1046
50;1151
55;1256
60;1308
65;1412
70;1465
75;1517
80;1517
85;1622
90;1622
95;1674
100;1674
105;1727
110;1674
115;1727
120;1727
125;1727
130;1727
135;1779
140;1779
145;1779
150;1779
155;1779
160;1779
165;1779
170;1779
175;1832
180;1832
185;1832
190;1779
195;1779
200;1779
205;1779
210;1779
215;1832
220;1832
225;1779
230;1779
235;1779
240;1779
245;1779
250;1832
255;1832
260;1779
265;1779
270;1779
275;1779
280;1779
285;1832
290;1832
295;1779
300;1779
305;1779
310;1779
315;1779
320;1832
325;1779
330;1779
335;1779
340;1779
345;1779
350;1779
355;1779
360;1779
365;1779
370;1779
375;1832
380;1779
385;1779
390;1779
395;1779
400;1779
405;1779
410;1779
415;1779
420;1779
425;1779
430;1779
435;1779
440;1779
445;1779
450;1779
455;1779
460;1779
465;1779
470;1779
475;1779
480;1779
485;1779
490;1779
495;1779
500;1727
505;1779
510;1779
515;1779
520;1727
525;1779
530;1779
535;1779
540;1779
545;1779
550;1779
555;1779
560;1779
565;1727
570;1779
575;1779
580;1779
585;1727
590;1779
595;1779
600;1779
605;1727
610;1779
615;1779
620;1779
625;1727
630;1779
635;1779
640;1779
645;1727
650;1779
655;1779
660;1779
665;1727
670;1779
675;1779
680;1727
685;1727
690;1779
695;1779
700;1779
705;1779
710;1779
715;1779
720;1727
725;1727
730;1779
735;1779
740;1727
745;1779
750;1779
755;1779
760;1727
765;1779
770;1779
775;1727
780;1727
785;1779
790;1779
795;1727
800;1779
805;1779
810;1779
815;1727
820;1779
825;1779
830;1779
835;1727
840;1779
845;1779
850;1779
855;1727
860;1779
865;1779
870;1779
875;1727
880;1779
885;1779
890;1727
895;1727
900;1779
905;1779
910;1727
915;1779
920;1779
925;1727
930;1727
935;1779
940;1779
945;1727
950;1779
955;1779
960;1727
965;1727
970;1779
975;1779
980;1727
985;1779
990;1779
995;1727
1000;1727
1005;1779
1010;1727
1015;1727
1020;1779
1025;1779
1030;1727
1035;1779
1040;1779
1045;1727
1050;1727
1055;1779
1060;1727
1065;1727
1070;1779
1075;1779
1080;1727
1085;1779
1090;1779
1095;1727
1100;1727
1105;1779
1110;1727
1115;1727
1120;1779
1125;1779
1130;1727
1135;1779
1140;1779
1145;1727
1150;1727
1155;1779
1160;1779
1165;1727
1170;1779
1175;1779
1180;1727
1185;1727
1190;1779
1195;1779
1200;1727
1205;1779
1210;1779
1215;1779
1220;1727
1225;1779
1230;1779
1235;1727
1240;1727
1245;1779
1250;1779
1255;1727
1260;1779
1265;1779
1270;1727
1275;1727
1280;1779
1285;1779
1290;1727
1295;1779
1300;1779
1305;1727
1310;1727
1315;1779
1320;1779
1325;1779
1330;1779
1335;1779
1340;1779
1345;1727
1350;1727
1355;1779
1360;1779
1365;1727
1370;1779
1375;1779
1380;1779
1385;1727
1390;1779
1395;1779
1400;1727
1405;1727
1410;1779
1415;1779
1420;1727
1425;1779
1430;1779
1435;1727
1440;1727
1445;1779
1450;1779
1455;1727
1460;1779
1465;1779
1470;1727
1475;1727
1480;1779
1485;1779
1490;1727
1495;1779
