TIME,YAW_RATE_DEG_S
0,0
20,-100.021698
40,-162.535263
60,-262.556976
80,-337.573242
100,-425.092224
120,-487.605804
140,-550.119385
160,-600.130188
180,-637.638245
200,-675.146484
220,-712.654602
240,-725.157349
260,-762.665466
280,-775.168213
300,-775.168213
320,-787.670898
340,-825.179016
360,-825.179016
380,-850.184448
400,-850.184448
420,-850.184448
440,-837.681763
460,-837.681763
480,-862.687195
500,-862.687195
520,-850.184448
540,-875.18988
560,-862.687195
580,-862.687195
600,-862.687195
620,-875.18988
640,-862.687134
660,-862.687134
680,-875.18988
700,-850.184448
720,-862.687134
740,-850.184448
760,-862.687134
780,-875.18988
800,-862.687134
820,-862.687134
840,-850.184448
860,-850.184448
880,-850.184448
900,-875.18988
920,-850.184448
940,-862.687134
960,-850.184448
980,-862.687134
1000,-837.681763
1020,-875.18988
1040,-875.18988
1060,-850.184448
1080,-837.681763
1100,-837.681763
1120,-862.687134
1140,-837.681763
1160,-850.184448
1180,-862.687134
1200,-837.681763
1220,-850.184448
1240,-850.184448
1260,-850.184448
1280,-862.687134
1300,-850.184448
1320,-850.184448
1340,-837.681763
1360,-837.681763
1380,-837.681763
1400,-862.687134
1420,-850.184448
1440,-850.184448
1460,-837.681763
1480,-850.184448
1500,-837.681763
1520,-850.184448
1540,-837.681763
1560,-825.179016
1580,-837.681763
