TIME,VELOCITY
0,0
20,111.288879
40,139.111099
60,241.125916
80,315.318512
100,361.688904
120,426.607422
140,482.251831
160,537.89624
180,593.54071
200,639.911133
220,677.007385
240,723.377747
260,769.748169
280,788.296265
300,816.11853
320,834.666626
340,862.488892
360,899.585144
380,927.407349
400,927.407349
420,936.681458
440,964.503662
460,983.051819
480,992.325928
500,1001.599976
520,992.325928
540,1010.874023
560,1038.696289
580,1047.970215
600,1038.696289
620,1038.696289
640,1057.244385
660,1075.79248
680,1075.79248
700,1066.518433
720,1085.06665
740,1085.06665
760,1103.614746
780,1094.340576
800,1085.06665
820,1103.614746
840,1094.340698
860,1122.162842
880,1103.614746
900,1094.340698
920,1103.614746
940,1122.162842
960,1112.888794
980,1112.888794
1000,1103.614746
1020,1122.162842
1040,1122.162842
1060,1122.162842
1080,1103.614746
1100,1112.888794
1120,1122.162842
1140,1122.162842
1160,1103.614746
1180,1112.888794
1200,1122.162842
1220,1122.162842
1240,1112.888794
1260,1112.888794
1280,1122.162842
1300,1122.162842
1320,1140.71106
1340,1131.437012
1360,1112.888794
1380,1122.162842
1400,1131.437012
1420,1131.437012
1440,1112.888794
1460,1112.888794
1480,1140.71106
1500,1122.162842
1520,1131.437012
1540,1112.888794
1560,1131.437012
1580,1149.985107
