TIME;YAW_RATE_DEG_S
0.000000;0.000000
20.000000;42.509228
40.000000;85.018456
60.000000;141.697433
80.000000;184.206635
100.000000;198.376389
120.000000;240.885605
140.000000;269.225128
160.000000;311.734314
180.000000;325.904053
200.000000;368.413300
220.000000;368.413269
240.000000;382.583038
260.000000;396.752777
280.000000;410.922546
300.000000;439.262024
320.000000;410.922546
340.000000;439.262024
360.000000;453.431763
380.000000;453.431763
400.000000;439.262054
420.000000;467.601471
440.000000;453.431763
460.000000;453.431763
480.000000;453.431763
500.000000;453.431763
520.000000;481.771210
540.000000;467.601471
560.000000;453.431763
580.000000;467.601471
600.000000;467.601471
620.000000;467.601471
640.000000;467.601471
660.000000;467.601471
680.000000;467.601471
700.000000;453.431763
720.000000;467.601471
740.000000;453.431763
760.000000;439.262024
780.000000;453.431763
800.000000;439.262024
820.000000;453.431763
840.000000;439.262024
860.000000;425.092255
880.000000;453.431763
900.000000;453.431763
920.000000;439.262024
940.000000;453.431763
960.000000;453.431763
980.000000;453.431763
