TIME,VELOCITY
0,0
20,27.82222
40,18.548147
60,55.644444
80,64.918518
100,74.192589
120,92.740738
140,102.014816
160,120.562958
180,129.837021
200,129.837021
220,157.659256
240,148.385178
260,166.933334
280,185.481476
300,176.207397
320,204.029617
340,194.755554
360,204.029617
380,213.303696
400,213.303696
420,231.851852
440,213.303696
460,222.577774
480,213.303696
500,213.303696
520,204.029617
540,213.303696
560,204.029617
580,204.029633
600,213.303696
620,213.303711
640,204.029633
660,213.303696
680,204.029633
700,231.851852
720,213.303696
740,231.851852
760,231.851852
780,241.125931
800,241.125916
820,241.125931
840,250.399994
860,241.125931
880,241.125931
900,241.125931
920,231.851852
940,241.125916
960,231.851852
980,213.303696
1000,231.851852
1020,222.577774
1040,213.303696
1060,222.577774
1080,222.577774
1100,213.303696
1120,231.851852
1140,222.577774
1160,231.851852
1180,231.851852
1200,250.399994
1220,231.851852
1240,241.125931
1260,250.399994
1280,241.125931
1300,250.399994
1320,241.125931
1340,241.125916
1360,231.851852
1380,231.851852
1400,241.125916
1420,222.577774
1440,241.125931
1460,231.851852
1480,231.851852
1500,222.577774
1520,231.851852
1540,231.851852
1560,241.125916
1580,241.125931
1600,241.125931
1620,241.125931
1640,250.399994
1660,241.125931
1680,259.674042
1700,250.399994
1720,250.399994
1740,241.125916
1760,241.125931
1780,241.125916
1800,241.125916
1820,231.851852
1840,231.851852
1860,231.851852
1880,241.125931
1900,231.851852
1920,222.577774
1940,241.125931
1960,222.577774
1980,241.125931
